Path Deviation (cm)	Collision Count	Manual Interventions	Completion Time (s)	System Type	Local Plan Type
9.1	1	0	93.4	dual-map	dynamic map
8	0	0	91	dual-map	dynamic map
8.9	1	1	94.7	dual-map	dynamic map
7.8	0	0	90.2	dual-map	dynamic map
8.6	0	0	92.6	dual-map	dynamic map
9.3	1	0	95.1	dual-map	dynamic map
7.9	0	0	91.5	dual-map	dynamic map
8.7	1	0	93.8	dual-map	dynamic map
8.2	0	0	91.2	dual-map	dynamic map
9	1	1	94.9	dual-map	dynamic map
7.7	0	0	90.8	dual-map	dynamic map
8.8	0	0	92.9	dual-map	dynamic map
8.3	0	0	91.7	dual-map	dynamic map
9.4	1	0	95.3	dual-map	dynamic map
7.5	0	0	90.4	dual-map	dynamic map
8.5	0	0	92.3	dual-map	dynamic map
8.1	0	0	91.1	dual-map	dynamic map
9.2	1	1	94.5	dual-map	dynamic map
7.6	0	0	90.6	dual-map	dynamic map
8.9	1	0	93.6	dual-map	dynamic map
8.4	0	0	91.9	dual-map	dynamic map
9.5	1	0	95.7	dual-map	dynamic map
7.8	0	0	90.9	dual-map	dynamic map
8.6	0	0	92.7	dual-map	dynamic map
8	0	0	90.8	dual-map	dynamic map
9.1	1	0	94.2	dual-map	dynamic map
7.9	0	0	91.3	dual-map	dynamic map
8.8	0	0	93.1	dual-map	dynamic map
8.2	0	0	91.4	dual-map	dynamic map
9.3	1	1	95	dual-map	dynamic map
7.7	0	0	90.5	dual-map	dynamic map
8.5	0	0	92.4	dual-map	dynamic map
8.3	0	0	91.6	dual-map	dynamic map
9	1	0	94.8	dual-map	dynamic map
8.4	0	0	91.8	dual-map	dynamic map
8.6	0	0	92.5	dual-map	dynamic map
8.1	0	0	91	dual-map	dynamic map
9.2	1	0	94.6	dual-map	dynamic map
7.6	0	0	90.7	dual-map	dynamic map
8.9	0	0	93	dual-map	dynamic map
8.7	0	0	92.8	dual-map	dynamic map
8.2	0	0	91.3	dual-map	dynamic map
9.4	1	0	95.4	dual-map	dynamic map
7.8	0	0	90.3	dual-map	dynamic map
8.5	0	0	92.2	dual-map	dynamic map
8.3	0	0	91.5	dual-map	dynamic map
9.1	1	1	94.4	dual-map	dynamic map

