Path Deviation (cm)	Collision Count	Manual Interventions	Completion Time (s)	System Type	Local Plan Type
7.11	0	0	94	dual-map	static map
7.21	0	0	94	dual-map	static map
7.65	0	0	96	dual-map	static map
9.81	0	0	102	dual-map	static map
7.26	0	0	95	dual-map	static map
7.27	0	0	95	dual-map	static map
8.17	0	0	97	dual-map	static map
10.68	0	0	104	dual-map	static map
7.43	0	0	95	dual-map	static map
7.74	0	0	96	dual-map	static map
8.99	0	0	99	dual-map	static map
8.93	0	0	99	dual-map	static map
9.27	0	0	100	dual-map	static map
7.92	0	0	96	dual-map	static map
7.40	0	0	95	dual-map	static map
6.84	0	0	93	dual-map	static map
9.19	0	0	100	dual-map	static map
8.43	0	0	98	dual-map	static map
9.32	0	0	100	dual-map	static map
8.78	0	0	99	dual-map	static map
10.68	0	0	104	dual-map	static map
9.54	0	0	101	dual-map	static map
8.95	0	0	99	dual-map	static map
8.78	0	0	99	dual-map	static map
8.00	0	0	97	dual-map	static map
8.17	0	0	97	dual-map	static map
8.27	0	0	97	dual-map	static map
10.87	0	0	104	dual-map	static map
8.45	0	0	98	dual-map	static map
7.88	0	0	97	dual-map	static map
9.20	0	0	98.9	dual-map	static map
10.50	0	0	104.3	dual-map	static map
9.70	0	0	101	dual-map	static map
10.10	0	0	103.1	dual-map	static map
9.40	0	0	99.7	dual-map	static map
10.80	0	0	105.1	dual-map	static map
9.00	0	0	98.8	dual-map	static map
10.00	0	0	102.6	dual-map	static map

