Path Deviation (cm)	Collision Count	Manual Interventions	Completion Time (s)	System Type	Local Plan Type
17.84	5	2	92	baseline	static map
17.96	1	2	92	baseline	static map
19.35	5	4	93	baseline	static map
18.53	3	3	98	baseline	static map
18.83	3	1	92	baseline	static map
18.29	3	3	92	baseline	static map
17.83	1	2	94	baseline	static map
19.68	3	3	100	baseline	static map
17.70	2	1	92	baseline	static map
23.27	6	3	93	baseline	static map
19.44	3	3	96	baseline	static map
18.09	3	4	96	baseline	static map
19.16	3	3	97	baseline	static map
18.43	3	3	93	baseline	static map
16.74	2	1	92	baseline	static map
21.48	3	5	91	baseline	static map
18.17	4	1	96	baseline	static map
18.35	3	4	94	baseline	static map
19.50	4	2	97	baseline	static map
20.27	3	2	95	baseline	static map
18.56	3	2	100	baseline	static map
18.51	5	2	97	baseline	static map
18.62	4	3	96	baseline	static map
19.39	3	2	95	baseline	static map
17.36	3	3	94	baseline	static map
17.71	4	1	94	baseline	static map
19.60	5	3	94	baseline	static map
21.09	3	2	100	baseline	static map
19.34	3	3	95	baseline	static map
18.56	4	0	93	baseline	static map
19.64	2	2	96	baseline	static map
16.71	3	3	98	baseline	static map
20.66	4	1	92	baseline	static map
18.33	4	4	88	baseline	static map
17.30	3	3	94	baseline	static map
16.77	4	4	99	baseline	static map
23.04	0	4	93	baseline	static map
20.24	4	2	97	baseline	static map
17.31	2	2	96	baseline	static map
17.49	2	2	98	baseline	static map
18.23	3	3	93	baseline	static map
19.64	4	3	94	baseline	static map
15.37	3	2	101	baseline	static map
18.51	2	2	98	baseline	static map
17.62	3	2	87	baseline	static map
21.73	3	2	99	baseline	static map
17.06	5	2	102	baseline	static map
17.70	4	2	94	baseline	static map
18.73	3	5	98	baseline	static map
18.54	4	2	92	baseline	static map
19.96	3	2	95	baseline	static map
18.52	2	3	96	baseline	static map
16.28	4	2	93	baseline	static map
20.12	4	2	98	baseline	static map
17.76	3	3	97	baseline	static map
19.74	2	3	97	baseline	static map
20.00	3	1	98	baseline	static map
20.22	1	4	88	baseline	static map
16.12	4	2	96	baseline	static map
14.99	4	3	90	baseline	static map
